tx, ty, tz
-2.21426e-05, 5.99093e-05, -0.000100791
-1.49589e-05, 5.79957e-05, -9.48414e-05
1.32317e-06, 5.75002e-05, -8.70461e-05
-1.10541e-06, 5.7668e-05, -7.68434e-05
3.36815e-07, 5.38064e-05, -7.04318e-05
-6.34748e-06, 6.61502e-05, -6.30779e-05
-1.0154e-05, 6.35231e-05, -5.90538e-05
-7.97305e-06, 6.43326e-05, -4.98235e-05
-6.25635e-06, 6.5036e-05, -4.24008e-05
-4.73431e-06, 6.5669e-05, -3.57974e-05
-3.36051e-06, 6.62416e-05, -2.98344e-05
-2.11743e-06, 6.67598e-05, -2.44384e-05
-9.92246e-07, 6.72289e-05, -1.95541e-05
2.62704e-08, 6.76536e-05, -1.51329e-05
9.48238e-07, 6.8038e-05, -1.11307e-05
1.78281e-06, 6.83859e-05, -7.50797e-06
2.53827e-06, 6.87009e-05, -4.22862e-06
3.22211e-06, 6.8986e-05, -1.26012e-06
3.84114e-06, 6.92441e-05, 1.42698e-06
4.40148e-06, 6.94777e-05, 3.85937e-06
4.90871e-06, 6.96892e-05, 6.06118e-06
5.36786e-06, 6.98806e-05, 8.05427e-06
5.78348e-06, 7.00539e-05, 9.85843e-06
6.1597e-06, 7.02107e-05, 1.14916e-05
6.50026e-06, 7.03527e-05, 1.29699e-05
6.80854e-06, 7.04812e-05, 1.43081e-05
7.08759e-06, 7.05976e-05, 1.55194e-05
7.3402e-06, 7.07029e-05, 1.6616e-05
7.56885e-06, 7.07982e-05, 1.76085e-05
7.77584e-06, 7.08845e-05, 1.8507e-05
7.9632e-06, 7.09627e-05, 1.93203e-05
8.1328e-06, 7.10334e-05, 2.00566e-05
8.28632e-06, 7.10974e-05, 2.0723e-05
8.4253e-06, 7.11553e-05, 2.13262e-05
8.55109e-06, 7.12078e-05, 2.18723e-05
8.66497e-06, 7.12552e-05, 2.23666e-05
8.76804e-06, 7.12982e-05, 2.28141e-05
8.86135e-06, 7.13371e-05, 2.32191e-05
8.94582e-06, 7.13723e-05, 2.35857e-05
9.02227e-06, 7.14042e-05, 2.39176e-05
9.09148e-06, 7.14331e-05, 2.42181e-05
9.15413e-06, 7.14592e-05, 2.449e-05
9.21084e-06, 7.14828e-05, 2.47362e-05
9.26217e-06, 7.15042e-05, 2.4959e-05
9.30864e-06, 7.15236e-05, 2.51607e-05
9.3507e-06, 7.15411e-05, 2.53433e-05
9.38878e-06, 7.1557e-05, 2.55086e-05
9.42324e-06, 7.15714e-05, 2.56582e-05
9.45444e-06, 7.15844e-05, 2.57936e-05
9.48268e-06, 7.15962e-05, 2.59162e-05
9.50825e-06, 7.16068e-05, 2.60272e-05
9.53139e-06, 7.16165e-05, 2.61277e-05
9.55234e-06, 7.16252e-05, 2.62186e-05
9.5713e-06, 7.16331e-05, 2.63009e-05
9.58847e-06, 7.16403e-05, 2.63754e-05
9.604e-06, 7.16467e-05, 2.64429e-05
9.61807e-06, 7.16526e-05, 2.65039e-05
9.6308e-06, 7.16579e-05, 2.65592e-05
9.64232e-06, 7.16627e-05, 2.66092e-05
9.65275e-06, 7.16671e-05, 2.66545e-05
9.6622e-06, 7.1671e-05, 2.66955e-05
9.67075e-06, 7.16746e-05, 2.67326e-05
9.67848e-06, 7.16778e-05, 2.67662e-05
9.68549e-06, 7.16807e-05, 2.67966e-05
9.69183e-06, 7.16834e-05, 2.68241e-05
9.69757e-06, 7.16858e-05, 2.6849e-05
8.34489e-06, 6.67046e-05, 9.32412e-06
1.527e-05, 6.34946e-05, 1.37648e-05
5.02441e-06, 6.91079e-05, 1.36043e-05
2.9547e-06, 7.02589e-05, 2.16953e-05
2.96722e-06, 4.86039e-05, 8.40604e-06
-1.84473e-06, 5.33677e-05, 1.51995e-05
-2.115e-06, 6.92653e-05, 2.82204e-05
1.80838e-06, 7.10837e-05, 2.20335e-05
3.17715e-06, 7.24549e-05, 2.54595e-05
-1.38509e-06, 7.58883e-05, 2.86936e-05
-7.67011e-06, 6.79889e-05, 2.37632e-05
-1.22523e-05, 6.45642e-05, 2.2951e-05
-5.91129e-06, 5.92723e-05, 1.75934e-05
-9.37982e-06, 5.23633e-05, 5.35947e-07
-2.0703e-06, 4.31461e-05, -5.45286e-06
-1.07855e-05, 4.17103e-05, 4.14815e-07
-1.18409e-05, 3.88487e-05, -6.66737e-08
-2.29322e-05, 2.96768e-05, -3.77545e-06
-2.71747e-05, 3.05684e-05, -3.16931e-06
-3.50449e-05, 2.58853e-05, -1.12795e-05
-3.38857e-05, 2.60018e-05, -9.96855e-06
-3.00516e-05, 2.58488e-05, -8.6818e-06
-2.88908e-05, 3.58566e-05, -5.35945e-06
-2.47329e-05, 4.09219e-05, 8.97087e-06
-2.46954e-05, 4.18239e-05, 1.25405e-05
-2.46446e-05, 3.56306e-05, 7.26057e-06
-2.27679e-05, -1.63472e-05, -7.52901e-06
-1.15745e-05, -2.70101e-05, -1.4938e-05
-6.65297e-06, -3.2482e-05, -2.12804e-05
-4.584e-06, -3.68466e-05, -2.00571e-05
3.06144e-07, -7.69238e-05, -4.34117e-05
-5.77263e-06, -7.04648e-05, -4.22699e-05
-8.33434e-06, -6.82681e-05, -4.27278e-05
2.57088e-06, -5.95459e-05, -4.46249e-05
7.1755e-06, -5.79529e-05, -4.43242e-05
7.59448e-06, -5.10274e-05, -3.69513e-05
1.15758e-05, -4.78323e-05, -5.36817e-05
7.20002e-06, -3.62623e-05, -4.8634e-05
7.04684e-06, -2.7248e-05, -4.60859e-05
7.24425e-06, -2.36315e-05, -4.01928e-05
5.80036e-06, -1.60812e-05, -3.66968e-05
-2.9496e-06, -2.00413e-06, -3.24291e-05
-1.6242e-05, 7.01561e-06, -3.03262e-05
-1.66324e-05, 1.23337e-05, -2.09957e-05
-1.67563e-05, 1.63576e-05, -1.22838e-05
-1.66045e-05, 1.68467e-05, -8.57456e-06
-1.67984e-05, 1.43382e-05, -9.19835e-06
-1.20784e-05, 1.71445e-05, -4.23264e-06
-1.55032e-05, 2.09827e-05, -2.48618e-06
-2.876e-05, 2.8971e-05, 2.57376e-07
-3.41097e-05, 2.37639e-05, -9.30068e-06
-3.26164e-05, 2.24091e-05, 2.66154e-07
-2.19905e-05, 2.26223e-06, 1.72808e-05
-2.20774e-05, 2.29179e-06, 1.36831e-05
-2.48141e-05, -1.06666e-05, -9.92662e-06
-2.36745e-05, -1.58864e-05, -1.08808e-05
-1.94775e-05, -1.4063e-05, -1.31397e-05
-1.86278e-05, -1.91999e-05, -1.82428e-05
-1.68435e-05, -1.80617e-05, -2.25032e-05
-1.62729e-05, -1.33419e-05, -1.88844e-05
-1.59304e-05, -7.2513e-06, -1.53844e-05
-1.10629e-05, -3.06914e-06, -1.41446e-05
-9.31578e-06, 5.51967e-06, -1.0858e-05
-6.10801e-06, 1.1847e-05, -1.27087e-05
-3.31239e-06, 1.7569e-05, -1.42063e-05
-7.95199e-07, 2.27479e-05, -1.55399e-05
1.48171e-06, 2.74358e-05, -1.67444e-05
3.54258e-06, 3.16792e-05, -1.78344e-05
5.40807e-06, 3.55205e-05, -1.8821e-05
7.09671e-06, 3.89976e-05, -1.9714e-05
8.62529e-06, 4.21451e-05, -2.05224e-05
1.0009e-05, 4.49942e-05, -2.12542e-05
1.12615e-05, 4.75733e-05, -2.19166e-05
1.23953e-05, 4.99079e-05, -2.25163e-05
1.34216e-05, 5.20211e-05, -2.3059e-05
1.43506e-05, 5.39341e-05, -2.35504e-05
1.51916e-05, 5.56657e-05, -2.39951e-05
1.59528e-05, 5.72332e-05, -2.43977e-05
1.66419e-05, 5.86521e-05, -2.47621e-05
1.72656e-05, 5.99365e-05, -2.5092e-05
1.78303e-05, 6.10991e-05, -2.53906e-05
1.83414e-05, 6.21515e-05, -2.56609e-05
1.8804e-05, 6.31042e-05, -2.59056e-05
1.92228e-05, 6.39666e-05, -2.61271e-05
1.96019e-05, 6.47472e-05, -2.63276e-05
1.99451e-05, 6.54538e-05, -2.65091e-05
2.02557e-05, 6.60934e-05, -2.66734e-05
2.05369e-05, 6.66724e-05, -2.68221e-05
2.07915e-05, 6.71965e-05, -2.69567e-05
2.10219e-05, 6.7671e-05, -2.70786e-05
2.12304e-05, 6.81004e-05, -2.71889e-05
2.14192e-05, 6.84892e-05, -2.72887e-05
2.15901e-05, 6.88411e-05, -2.73791e-05
2.17448e-05, 6.91596e-05, -2.74609e-05
2.18849e-05, 6.9448e-05, -2.7535e-05
2.20116e-05, 6.9709e-05, -2.7602e-05
2.21264e-05, 6.99453e-05, -2.76627e-05
2.22302e-05, 7.01591e-05, -2.77176e-05
2.23243e-05, 7.03527e-05, -2.77674e-05
2.24094e-05, 7.0528e-05, -2.78124e-05
2.24864e-05, 7.06866e-05, -2.78531e-05
2.25562e-05, 7.08302e-05, -2.789e-05
2.26193e-05, 7.09602e-05, -2.79234e-05
2.26764e-05, 7.10779e-05, -2.79536e-05
2.27282e-05, 7.11844e-05, -2.7981e-05
2.2775e-05, 7.12808e-05, -2.80057e-05
2.28174e-05, 7.13681e-05, -2.80281e-05
2.28557e-05, 7.14471e-05, -2.80484e-05
2.28905e-05, 7.15186e-05, -2.80668e-05
2.29219e-05, 7.15833e-05, -2.80834e-05
2.29504e-05, 7.16419e-05, -2.80985e-05
2.29761e-05, 7.1695e-05, -2.81121e-05
2.29994e-05, 7.1743e-05, -2.81244e-05
2.30205e-05, 7.17864e-05, -2.81356e-05
2.30396e-05, 7.18258e-05, -2.81457e-05
2.30569e-05, 7.18614e-05, -2.81548e-05
2.30726e-05, 7.18936e-05, -2.81631e-05
2.30868e-05, 7.19228e-05, -2.81706e-05
2.30996e-05, 7.19492e-05, -2.81774e-05
2.31112e-05, 7.19731e-05, -2.81835e-05
2.31217e-05, 7.19948e-05, -2.81891e-05
2.31312e-05, 7.20144e-05, -2.81941e-05
2.31399e-05, 7.20321e-05, -2.81987e-05
2.31477e-05, 7.20482e-05, -2.82028e-05
2.31547e-05, 7.20627e-05, -2.82065e-05
2.31611e-05, 7.20759e-05, -2.82099e-05
2.31669e-05, 7.20878e-05, -2.8213e-05
2.31721e-05, 7.20985e-05, -2.82158e-05
2.31769e-05, 7.21083e-05, -2.82183e-05
2.31811e-05, 7.21171e-05, -2.82205e-05
2.3185e-05, 7.21251e-05, -2.82226e-05
2.31885e-05, 7.21324e-05, -2.82244e-05
2.31917e-05, 7.21389e-05, -2.82261e-05
2.31946e-05, 7.21449e-05, -2.82276e-05
2.31972e-05, 7.21502e-05, -2.8229e-05
2.31996e-05, 7.21551e-05, -2.82303e-05
2.32017e-05, 7.21595e-05, -2.82314e-05
2.32036e-05, 7.21635e-05, -2.82324e-05
2.32054e-05, 7.21671e-05, -2.82334e-05
2.3207e-05, 7.21703e-05, -2.82342e-05
2.32084e-05, 7.21733e-05, -2.8235e-05
2.32097e-05, 7.21759e-05, -2.82356e-05
2.32109e-05, 7.21784e-05, -2.82363e-05
2.32119e-05, 7.21806e-05, -2.82368e-05
2.32129e-05, 7.21825e-05, -2.82373e-05
2.32138e-05, 7.21843e-05, -2.82378e-05
2.32146e-05, 7.2186e-05, -2.82382e-05
2.32153e-05, 7.21874e-05, -2.82386e-05
2.32159e-05, 7.21888e-05, -2.82389e-05
2.32165e-05, 7.219e-05, -2.82392e-05
2.3217e-05, 7.21911e-05, -2.82395e-05
2.32175e-05, 7.21921e-05, -2.82398e-05
